name,brand,description,color,size,price,curateditem_url,customer_name,customer_address,customer_city,customer_state,customer_zip,customer_phone
"Mock Neck Cap Sleeve Flared Pickleball Dress","Norma Kamali","Product description","Yellow","XS","265","https://www.fwrd.com/product-norma-kamali-mock-neck-cap-sleeve-flared-pickleball-dress-in-black/NOMF-WD607/","Madison Brown","123 Sport Ave","Los Angeles","CA","90210","(555) 123-4567"
"High Neck Body Dust Printed Short Dress","Jean Paul Gaultier","Product description","Black & Brown","M","1000","https://www.fwrd.com/product-high-neck-body-dust-printed-short-dress-in-black-brown/JIEF-WD143/","Aria Miller","456 Designer St","New York","NY","10001","(555) 234-5678"
"High Neck Body Dust Printed Short Dress","Jean Paul Gaultier","Product description","Black & Brown","S","580","https://www.fwrd.com/product-high-neck-body-dust-printed-short-dress-in-black-brown/JIEF-WD143/","Luna Wilson","789 Fashion Blvd","Miami","FL","33101","(555) 345-6789"
"High Neck Body Dust Printed Short Dress","Jean Paul Gaultier","Product description","Black & Brown","XL","580","https://www.fwrd.com/product-high-neck-body-dust-printed-short-dress-in-black-brown/JIEF-WD143/","Nova Davis","321 Style Dr","Chicago","IL","60601","(555) 456-7890"
"Solid Bath Towel","TEKLA","Product description","Kodiak Brown","One Size","105","https://www.fwrd.com/product-tekla-solid-bath-towel-in-kodiak-brown/TEKF-WH18/","Stella Garcia","654 Home Ln","San Francisco","CA","94102","(555) 567-8901"
"Strapless Crepe Top","Saint Laurent","Product description","Noir","38","1700","https://www.fwrd.com/product-strapless-crepe-top-in-noir/SLAU-WS360/","Ivy Martinez","987 Luxury Ave","Seattle","WA","98101","(555) 678-9012"
"XT-4 OG Sneaker","Salomon","Product description","Vanilla Ice Ballad Blue & Tender Peach","Mens 11 / Womens 12","190","https://www.fwrd.com/product-salomon-xt4-og-sneaker-in-vanilla-ice-ballad-blue-tender-peach/SMOF-WZ83/","Aurora Rodriguez","147 Athletic St","Boston","MA","02101","(555) 789-0123"
"Large Cassandre Envelope Pouch","Saint Laurent","Product description","Noir","One Size","1100","https://www.fwrd.com/product-saint-laurent-large-cassandre-envelope-pouch-in-noir/SLAU-WY2543/","Hazel Thompson","258 Boutique Rd","Austin","TX","78701","(555) 890-1234"
"The SMOOTH Dynamic Wrinkle Defense Serum 30ml","U Beauty","Product description","","30ml","248","https://www.fwrd.com/product-u-beauty-the-smooth-dynamic-wrinkle-defense-serum-30ml/UBEF-WU41/","Violet Anderson","369 Beauty Dr","Denver","CO","80202","(555) 901-2345"
"by Marianna Sidney Gown","LAcademie","Product description","Mauve","XXS","289","https://www.fwrd.com/product-lacademie-by-marianna-sidney-gown-in-mauve/LCDE-WD961/","Willow Taylor","741 Gown Blvd","Portland","OR","97201","(555) 012-3456"
"XT-4 OG Sneaker","Salomon","Product description","Vanilla Ice Ballad Blue & Tender Peach","Mens 9.5 / Womens 10.5","190","https://www.fwrd.com/product-salomon-xt4-og-sneaker-in-vanilla-ice-ballad-blue-tender-peach/SMOF-WZ83/","Zoe White","852 Sport Ave","Nashville","TN","37201","(555) 123-4567"
"by Marianna Sidney Gown","LAcademie","Product description","Oxblood","M","289","https://www.fwrd.com/product-lacademie-by-marianna-sidney-gown-in-oxblood/LCDE-WD954/","Ruby Clark","963 Evening St","Phoenix","AZ","85001","(555) 234-5678"
"Andiamo Clutch","Bottega Veneta","Product description","Biscuit & Muse Brass","One Size","3200","https://www.fwrd.com/product-bottega-veneta-andiamo-clutch-in-biscuit-muse-brass/BOTT-WY1937/","Scarlett Lewis","159 Luxury Dr","Las Vegas","NV","89101","(555) 345-6789"
"Mini Jamie 4.3 Chain Bag","Saint Laurent","Product description","Olive Branch & Dark Olive Branch","One Size","3000","https://www.fwrd.com/product-mini-jamie-43-chain-bag-in-olive-branch-dark-olive-branch/SLAU-WY3242/","Penelope Hall","357 Designer Ave","Salt Lake City","UT","84101","(555) 456-7890"
