name,brand,description,color,size,price,curateditem_url,customer_name,customer_address,customer_city,customer_state,customer_zip,customer_phone
"Exclusive Lay3 Crepe Cardigan","BIRROT","Product description","YELLOW","US 4","355","https://www.modaoperandi.com/women/p/birrot/exclusive-lay3-boatneck-cardigan/691644","Sarah Johnson","123 Fashion Ave","New York","NY","10001","(555) 123-4567"
"Exclusive Lay3 Crepe Cardigan","BIRROT","Product description","Brown","US 2","355","https://www.modaoperandi.com/women/p/birrot/exclusive-lay3-boatneck-cardigan/691644","Emma Wilson","456 Style St","Los Angeles","CA","90210","(555) 234-5678"
"Exclusive Lay3 Crepe Cardigan","BIRROT","Product description","Brown","US 4","355","https://www.modaoperandi.com/women/p/birrot/exclusive-lay3-boatneck-cardigan/691644","Olivia Davis","789 Trend Blvd","Miami","FL","33101","(555) 345-6789"
"Gemi Long Leather Gloves","By Malene Birger","Product description","Brown","M","300","https://www.modaoperandi.com/women/p/by-malene-birger/gemi-long-leather-gloves/686655","Isabella Garcia","321 Chic Dr","Chicago","IL","60601","(555) 456-7890"
"Belted Leather Baguette Bag","Lemaire","Product description","Brown","","1295","https://www.modaoperandi.com/women/p/lemaire/belted-baguette-bag/685972","Sophia Martinez","654 Luxury Ln","San Francisco","CA","94102","(555) 567-8901"
"Robbie Leather Slingback Flats","Gianvito Rossi","Product description","Brown","IT 38","895","https://www.modaoperandi.com/women/p/gianvito-rossi/robbie-sling-05-nuit/695848","Ava Rodriguez","987 Designer Ave","Seattle","WA","98101","(555) 678-9012"
"Boble Gold-Plated Bangle","Éliou","Product description","Gold","","300","https://www.modaoperandi.com/women/p/eliou/boble-bangle/684235","Mia Thompson","147 Jewelry St","Boston","MA","02101","(555) 789-0123"
"Exclusive Lay3 Crepe Cardigan","BIRROT","Product description","Brown","US 4","355","https://www.modaoperandi.com/women/p/birrot/exclusive-lay3-boatneck-cardigan/691644","Charlotte Anderson","258 Boutique Rd","Austin","TX","78701","(555) 890-1234"
"Payge Eyelet Knit Midi Dress","Alexis","Product description","White","M","725","https://www.modaoperandi.com/women/p/alexis/payge-dress/685262","Amelia Taylor","369 Couture Dr","Denver","CO","80202","(555) 901-2345"
"Benny Suede Belt","Khaite","Product description","Brown","80 cm","560","https://www.modaoperandi.com/women/p/khaite/benny-belt-silver-buckle-30mm/655854","Harper White","741 Fashion Blvd","Portland","OR","97201","(555) 012-3456"
"Torie Cashmere Maxi Skirt","Lisa Yang","Product description","Brown","","940","https://www.modaoperandi.com/women/p/lisa-yang/torie-skirt/686140","Evelyn Clark","852 Style Ave","Nashville","TN","37201","(555) 123-4567"
"Kinto Suede Sandals","A.Emery","Product description","Brown","IT 42","160","https://www.modaoperandi.com/women/p/a-emery/kinto-sandal-2/655259","Abigail Lewis","963 Trend St","Phoenix","AZ","85001","(555) 234-5678"
