name,curateditem_url,size,color,quantity,customer_name,customer_address,customer_city,customer_state,customer_zip,customer_phone
"Apple iPhone 15 Pro Max","https://order.sanghwa.people.aws.dev/shop","256GB","Black","1","John Smith","123 Main St","San Francisco","CA","94102","(555) 123-4567"
"Samsung 65"" 4K Smart TV","https://order.sanghwa.people.aws.dev/shop","","","1","Jane Doe","456 Oak Ave","Los Angeles","CA","90210","(555) 234-5678"
"Sony WH-1000XM5 Headphones","https://order.sanghwa.people.aws.dev/shop","","Black","1","Mike Johnson","789 Pine St","Seattle","WA","98101","(555) 345-6789"
"MacBook Air M3 13-inch","https://order.sanghwa.people.aws.dev/shop","512GB","Gold","1","Sarah Wilson","321 Elm Dr","Portland","OR","97201","(555) 456-7890"
"Nike Air Max 270","https://order.sanghwa.people.aws.dev/shop","10","White","1","David Brown","654 Maple Ln","Denver","CO","80202","(555) 567-8901"
"Instant Pot Duo 7-in-1","https://order.sanghwa.people.aws.dev/shop","","","2","Lisa Garcia","987 Cedar Rd","Austin","TX","78701","(555) 678-9012"
"Kindle Paperwhite","https://order.sanghwa.people.aws.dev/shop","32GB","","1","Tom Anderson","147 Birch St","Miami","FL","33101","(555) 789-0123"
"Dyson V15 Detect Vacuum","https://order.sanghwa.people.aws.dev/shop","","Blue","1","Emily Davis","258 Spruce Ave","Boston","MA","02101","(555) 890-1234"
"Levi's 501 Original Jeans","https://order.sanghwa.people.aws.dev/shop","L","Blue","1","Chris Martinez","369 Willow Dr","Chicago","IL","60601","(555) 901-2345"
"Echo Dot (5th Gen)","https://order.sanghwa.people.aws.dev/shop","","White","1","Amanda Taylor","741 Aspen Ln","Phoenix","AZ","85001","(555) 012-3456"
"Fitbit Charge 6","https://order.sanghwa.people.aws.dev/shop","Large","Black","1","Kevin Lee","852 Poplar St","Las Vegas","NV","89101","(555) 123-4567"
"Ninja Foodi Air Fryer","https://order.sanghwa.people.aws.dev/shop","","","1","Rachel White","963 Hickory Ave","Nashville","TN","37201","(555) 234-5678"
"Adidas Ultraboost 22","https://order.sanghwa.people.aws.dev/shop","9","Black","1","Jason Miller","159 Walnut Dr","Atlanta","GA","30301","(555) 345-6789"
"Ring Video Doorbell","https://order.sanghwa.people.aws.dev/shop","","","1","Nicole Thompson","357 Cherry Rd","Orlando","FL","32801","(555) 456-7890"
"Patagonia Down Jacket","https://order.sanghwa.people.aws.dev/shop","M","Blue","1","Michelle Rodriguez","579 Plum Ave","San Diego","CA","92101","(555) 567-8901"
"iPad Air 5th Generation","https://order.sanghwa.people.aws.dev/shop","256GB","Blue","1","Daniel Lewis","680 Grape Dr","Salt Lake City","UT","84101","(555) 678-9012"
"KitchenAid Stand Mixer","https://order.sanghwa.people.aws.dev/shop","","White","1","Jessica Walker","791 Berry Ln","Kansas City","MO","64101","(555) 789-0123"
"The North Face Backpack","https://order.sanghwa.people.aws.dev/shop","","Black","1","Andrew Hall","802 Orange St","Minneapolis","MN","55401","(555) 890-1234"
"Bose SoundLink Flex","https://order.sanghwa.people.aws.dev/shop","","Blue","1","Stephanie Young","913 Lemon Ave","Detroit","MI","48201","(555) 901-2345"
"Allbirds Tree Runners","https://order.sanghwa.people.aws.dev/shop","11","Black","1","Michelle Rodriguez","579 Plum Ave","San Diego","CA","92101","(555) 012-3456"
